jabko_url,jabko_name,jabko_price_uah,mygadget_url,mygadget_name,mygadget_price_uah
https://jabko.ua/iphone/b-u-iphone/b-u-iphone-11/bu-iphone-11-64gb-black-horoshyi-stan-nova-batareya,"б/у iPhone 11 64GB (Black) (Хороший стан, нова батарея)",7875,https://mygadget.ua/b-us/b-u-iphone/b-u-iphone-11/b-u-iphone-11-64gb-black-sostoyanie-10-10,Б/У iPhone 11 64Gb Black,7820
https://jabko.ua/iphone/b-u-iphone/b-u-iphone-11/bu-iphone-11-64gb-black-idealnyi-stan-nova-batareya,б/у iPhone 11 64GB (Black) (Як Новий),8550,https://mygadget.ua/kak-novyy/iphone/iphone-11-kak-novyy/b-u-iphone-11-64gb-black-kak-novyy,Apple iPhone 11 64Gb Black (як новий),8498
https://jabko.ua/iphone/b-u-iphone/b-u-iphone-11/bu-iphone-11-128gb-black-horoshyi-stan-nova-batareya,"б/у iPhone 11 128GB (Black) (Хороший стан, нова батарея)",9225,https://mygadget.ua/b-us/b-u-iphone-11-128gb-black-sostoyanie-10-10,Б/У iPhone 11 128Gb Black,9176
https://jabko.ua/iphone/b-u-iphone/b-u-iphone-11/bu-iphone-11-128gb-black-idealnyi-stan-nova-batareya,б/у iPhone 11 128GB (Black) (Як Новий),9900,https://mygadget.ua/kak-novyy/iphone/iphone-11-kak-novyy/b-u-iphone-11-128gb-black-kak-novyy,Apple iPhone 11 128Gb Black (як новий),9854
https://jabko.ua/product/bu-iphone-11-256gb-black-horoshyi-stan-standartna-batareya,"б/у iPhone 11 256GB (Black) (Хороший стан, нова батарея)",9000,https://mygadget.ua/b-us/b-u-iphone/b-u-iphone-11/used-iphone-11-256gb-black,Б/У iPhone 11 256Gb Black,8950
https://jabko.ua/product/bu-iphone-11-256gb-black-idealnyi-stan-nova-batareya,б/у iPhone 11 256GB (Black) (Як Новий),10350,https://mygadget.ua/kak-novyy/iphone/iphone-11-kak-novyy/b-u-iphone-11-256gb-black-kak-novyy,Apple iPhone 11 256Gb Black (як новий),10306
https://jabko.ua/iphone/b-u-iphone/b-u-iphone-11-pro/bu-iphone-11-pro-64gb-space-gray-horoshyi-stan-nova-batareya,"б/у iPhone 11 Pro 64GB (Space Gray) (Хороший стан, нова батарея)",9000,https://mygadget.ua/b-us/b-u-iphone/b-u-iphone-11-pro/b-u-iphone-11-pro-64gb-space-gray-sostoyanie-10-10,Б/У iPhone 11 Pro 64Gb Space Gray,8950
https://jabko.ua/iphone/b-u-iphone/b-u-iphone-11-pro/bu-iphone-11-pro-64gb-space-gray-idealnyi-stan-nova-batareya,б/у iPhone 11 Pro 64GB (Space Gray) (Як Новий),9675,https://mygadget.ua/kak-novyy/iphone/iphone-11-pro-kak-novyy/b-u-iphone-11-pro-64gb-space-gray-kak-novyy,Apple iPhone 11 Pro 64Gb Space Gray (як новий),9628
https://jabko.ua/iphone/b-u-iphone/b-u-iphone-11-pro/bu-iphone-11-pro-256gb-space-gray-horoshyi-stan-nova-batareya,"б/у iPhone 11 Pro 256GB (Space Gray) (Хороший стан, нова батарея)",10800,https://mygadget.ua/b-us/b-u-iphone/b-u-iphone-11-pro/b-u-iphone-11-pro-256gb-space-gray-sostoyanie-10-10,Б/У iPhone 11 Pro 256Gb Space Gray,10758
https://jabko.ua/iphone/b-u-iphone/b-u-iphone-11-pro/bu-iphone-11-pro-256gb-space-gray-idealnyi-stan-nova-batareya,б/у iPhone 11 Pro 256GB (Space Gray) (Як Новий),11475,https://mygadget.ua/kak-novyy/iphone/iphone-11-pro-kak-novyy/b-u-iphone-11-pro-256gb-space-gray-kak-novyy,Apple iPhone 11 Pro 256Gb Space Gray (як новий),11436
